,Название,Столица,Дата присоединения,Население,Площадь,Военный бюджет в % ВВП (2020),"ВВП 2020, $"
0,Албания,Тирана,1 апреля 2009,002793385,"28,748 км² (11,100 кв.миль)",1.5,15131866271
1,Бельгия,Брюссель,24 августа 1949,011778842,"30 528 км² (11 787 кв.миль)",1.1,521676942135
2,Болгария,София,29 марта 2004,006919180,"110,879 км² (42,811 кв.миль)",1.8,69889347433
3,Канада,Оттава,24 августа 1949,038943231,"9,984,670 км² (3,855,103 кв.миль)",1.4,1645423407568
4,Хорватия,Загреб,1 апреля 2009,003901833,"56,594 км² (21,851 кв.миль)",1.8,79163000000
5,Чешская Республика,Прага,12 марта 1999,010702596,"78,867 км² (30,451 кв.миль)",1.4,245339322067
6,Дания,Копенгаген,24 августа 1949,005958380,"2,210,573 км² (853,507 кв.миль)",1.4,356084867686
7,Эстония,Таллинн,29 марта 2004,001220042,"45,228 км² (17,463 кв.миль)",2.3,30650285472
8,Финляндия,Хельсинки,4 апреля 2023,005566000,"338 455 км² (130 678 кв. миль)",1.5,269751000000
9,Франция,Париж,24 августа 1949,068084217,"643 427 км² (248 429 кв. миль)",2.1,2630317731455
10,Германия,Берлин,6 мая 1955 года (Западная Германия)-3 октября 1990 года (Восточная Германия),079903481,"357 022 км² (137 847 кв. миль)",1.4,3846413928654
11,Греция,Афины,18 февраля 1952,010569703,"131,957 км² (50,949 кв.миль)",2.8,188835201626
12,Венгрия,Будапешт,12 марта 1999,009728337,"93 028 км² (35 918 кв.миль)",1.6,156743134666
13,Исландия, Рейкьявек, 24 августа 1949,000354234,"103,000 км² (39,769 кв.миль)",0.0,21718075725
14,Италия,Рим,24 августа 1949,062390364,"301,340 км² (116,348 кв.миль)",1.6,1892574064222
15,Латвия,Рига,29 марта 2004,001862687,"64 589 км² (24 938 кв.миль)",2.3,33645460617
16,Литва,Вильнюс,29 марта 2004,002711566,"65,300 км² (25,212 кв.миль)",2.1,56546957475
17,Люксембург,Люксембург,24 августа 1949,000639589,"2,586 км² (998 кв.миль)",0.8,73353132794
18,Черногория,Подгорица,5 июня 2017,000607414,"13 812 км² (5 333 кв.миль)",2.1,4780722122
19,Нидерланды,Амстердам,24 августа 1949,017337403,"41 543 км² (16 040 кв.миль)",1.4,913865395790
20,Северная Македония, Скопье, 27 марта 2020,002128262,"25,713 км² (9,928 кв. миль)",1.3,12116981815
21,Норвегия, Осло, 24 августа 1949,005509591,"323,802 км² (125,021 кв. миль)",1.9,362198318435
22,Польша,Варшава,12 марта 1999,038185913,"312,685 км² (120,728 кв.миль)",2.2,596624355720
23,Португалия,Лиссабон,24 августа 1949,010263850,"92 090 км² (35 556 кв.миль)",2.1,228539245045
24,Румыния,Бухарест,29 марта 2004,021230362,"238 391 км² (92 043 кв. миль)",2.3,249511333648
25,Словакия,Братислава,29 марта 2004,005436066,"49,035 км² (18,933 кв.миль)",1.8,105172564492
26,Словения,Любляна,29 марта2004,002102106,"20,273 км² (7,827 кв.миль)",1.1,53589609581
27,Испания,Мадрид,30 мая 1982,047260584,"505,370 км² (195,124 кв.миль)",1.4,1281484640044
28,Турция,Анкара,18 февраля 1952,082482383,"783,562 км² (302,535 кв.миль)",2.8,719954821683
29,Великобритания,Лондон,24 августа 1949,067081000,"243,610 км² (94,058 кв.миль)",2.2,2756900214107
30,Соединенные Штаты Америки,Вашингтон,24 августа 1949,334998398,"9 833 520 км² (3 796 743 кв.миль)",3.7,20893743833000
